CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp,ERROR,SCORE
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,MEGHA SHREE PREMIUM-MEGHA SHREE-REGULAR-PPH 2.20GM,5.0,2.20GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-CRANBERRY PBT 320ML,99.0,320 ML,PBT ,,,,,,,,,,,CATCODE,
134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-STRAWBERRY PBT 320 ML,99.0,320ML,PBT,,,,,,,,,,,CATCODE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20'S-KS,FTP,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,MEGHA SHREE PREMIUM-MEGHA SHREE-REGULAR-PPH 2.20GM,5.0,2.20GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,GORKHA LAHARI PVT. LTD,CAPTAIN FILTER KING GOLD,CAPTAIN/20/HL/LUXURY/GORKHA LAHARI PVT. LTD/NEPAL,161.0,20,HL,,,,,,,,,,,MANUFACTURE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT. LTD. ,SURYA FUSION,SURYA FUSION-SURYA NEPAL-20-STICK-HL,320.0,20,HL,,,,,,,,,,,MANUFACTURE,
105,SURYA NEPAL PVT. LTD. ,SURYA FUSION,SURYA FUSION-SURYA NEPAL-20-STICK-HL,320.0,20,HL,,,,,,,,,,,MANUFACTURE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
126,MADHU CHEMICAL COMPANY,MADHU,MADHU SWEET- SUPARI PPH 1.45 GM.,3.0,1.45GM,PPH,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,75-85MM,20,,,,,,,,,,,PACKTYPE,
134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH MANGO PET 500ML,90.0,500ML,PET,,,,,,,,,,,CATCODE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,,,,,,,,,PACKTYPE,
105,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN GOLD,CAPTAIN GOLD/HL/20NOS/KFS/RS161.5,161.5,20NOS,KFS,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20,HL,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,HL 20'S,HL,20,20.0,NO,20.0,320.0,,25.0
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,CAPTAIN FILTER KINGS,CAPTAIN FILTER KINGS GOLD,161.5,20K''S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
124,DEUTI GUTKHA INDUSTRIES,MEGHA SHREE PREMIUM,PREMIUM MEGHA SHREE/DEUTI GUTKHA INDUSTRIES/PPH/2GM,5.0,2GM,PPH,,,,,,,,,,,PACKTYPE,
134,CHAUDHARY GROUP - NEPAL,RIO,RIO-APPLE-APPLE TPK 180ML,30.0,180ML,TPK,,,,,,,,,,,CATCODE,
134,CHAUDHARY GROUP - NEPAL,RIO,RIO-APPLE-APPLE TPK 180ML,30.0,180ML,TPK,,,,,,,,,,,CATCODE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,20K'S,FLT,,,,,,,,,,,PACKTYPE,
105,SURYA NEPAL PVT. LTD. ,SURYA FUSION,SURYA FUSION-SURYA NEPAL-20-STICK-HL,320.0,20,HL,,,,,,,,,,,MANUFACTURE,
