MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,Product Name
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,175,ML,175ML,PLBOT,LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX,Chandanalepa Kohomba Ayurveda Soap
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX,CHANDANALEPA VENIVEL AYURVEDA SOAP
CEYLON COLD STORES,ELEPHANT HOUSE ,ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML ,320,ML,320ML,CUP,Elephant Houses Vegan Frozen Dessert Passion Feelgood Range
NATURE'S BEAUTY CREATIONS LTD,MISUMI,MISUMI KIYO BEAUTY SOAP/65/GM/CD BOX,65,GM,65GM,CD BOX,MISUMI KIYO BEAUTY SOAP
UDAKANDA INDUSTRIES,SAPUMAL,SAPUMAL DETERGENT SOPE 150 GM,10000,10000,150 GM,EWRPK,Sapumal Detergent Sope
UNILEVER SRI LANKA LTD,POND'S,POND'S/23/GM/CDBOX/BRIGHT BEAUTY SERUM CREAM NINCINAMIDE 98% PURE VITAMIN B3 ANTI-SPOT FORMULA/SAVE RS 90,23,GM,23GM,CDBOX ,Bright Beauty Serum Cream Niacinamide 98% Pure Vitamin B3 Anti-Spot Formula
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/POWER PLUS 10X ORIGINAL/SAVE RS 50,500,ML,500ML,PLBOT ,Harpic Power Plus 10X Original
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ,75,GM,75G,PLPCH ,Papaer Blast Instant Noodles
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH ,Cream Cracker
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,180,ML,180ML,PBT,Hairfall Control Shampoo Coconut & Gotukola
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,180,ML,180ML,PBT,PARACHUTE NATURAL/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,200,ML,200ML,PBT,Healthy Bright In 2 Weeks Serum in Lotion
HARUMI HOLDINGS (PVT) LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,180,ML,180ML,PBT,Parachute Natural Hairfall Control Shampoo Coconut & Gotukola
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH ,Papare Blast (Assuming this is the name of the product based on the given string)
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH,MILK CRUNCH (from SUN RICH/315/G/PLPCH)
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS\14\GM\PLPCH\PAPER STICK COLA FLAVOUR BUBBLE GUM FILLED LOLLIPOP,14,GM,14GM,PLPCH,Chupa Chups Cola Flavour Bubble Gum Filled Lollipop
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT FLORAL FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT,MAGIC SOFT FLORAL FRESH FABRIC CONDITIONER
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT AQUA FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT,Magic Soft Aqua Fresh After Wash Fabric Conditioner
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000,STAR DRITEX WINGS SECURE FIT (without EVA and numbering)
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH ,SUN RICH/35/GM/PLPCH/VANILLA DOUBLE CREAM WAFERS ,35,GM,35GM,PLPCH,Vanilla Double Cream Wafers
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH CHOCOLATE CREAMY WAFERS,SUN RICH/35/GM/PLPCH/CHOCOLATE DOUBLE CREAM WAFERS ,35,GM,35GM,PLPCH,CHocolated Double Cream Wafers
HAYLEYS CONSUMER PRODUCTS LTD,OLAY,OLAY/50/GM/CDBOX/NATURAL AURA 7 IN ONE NIGHT NOURISHING REPAIR CREAM,50,GM,50GM,CDBOX,NATURAL AURA 7 IN ONE NIGHT NOURISHING REPAIR CREAM
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP ,75,GM,75GM,CDBOX,VENIVEL AYURVEDA SOAP
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/75/GM/CDBOX/ALMOND OIL, VITAMIN E & MILK BABY SOAP BUY 5 SAVE AS 45 RS",375,GM,375GM,CDBOX,"Almond Oil, Vitamin E & Milk Baby Soap"
HAYLEYS CONSUMER PRODUCTS LTD,WHISPER,WHISPER/15/NO/PLPCH/ULTRA CLEAN XL 3 SMART LAYERS BUY 2 GET 1 FREE,15,NO,15NO,PLPCH,Ultra Clean XL 3 Smart Layers (from your provided text)
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,SO SOFT/10/NO/PLPCH/COTTON FEEL WINGS SANITARY NAPKINS,10,NO,10NO,PLPCH,Cotton Feel Wings Sanitary Napkins
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYURVEDA SOAP,75,GM,75GM,CDBOX,KOHOMBA AYURVEDA SOAP
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA ORANGE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,Fanta Orange
JS PRODUCTS,PRITE ,PRITE/330/ML/PBT,330,ML,330ML ,PBT,Prite (Based on the provided code)
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST,10000,10000,75/G,PLPCH ,Papare Blast (assuming it is a product name; the given string seems to be a product code and doesn't have a common format for product names)
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/KIWI BURST,250,ML,250ML ,CAN,Kiwi Burst (from ELEPHANT/VIBE)
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/ORANGE BURST,250,ML,250ML ,CAN,"Orange Burst (Based on your request to exclude quantity, unit, or pack type)"
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/GRAPE BURST,250,ML,250ML ,CAN,ELEPHANT/VIBE/GRAPE BURST
CEYLON CONFECTIONERY WORKS PVT LTD,VONKA,VONKA (CEYLON CONFECTIONERY)CHOCO MAGIC/45/GM/EWRP,45,GM,45GM,EWRP,CHOCO MAGIC
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM ,PLPCH ,Papare Blast (assuming this is the main identifiable element in the given string)
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST INSTANT NOODLES ,10000,10000,75 GM,PLPCH,Paprika Blast Instant Noodles
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/490/GM/PLPCH/SUPER CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH ,SUPER CREAM CRACKER
DG PRODUCTS,D&G,D&G/50/GM/PLPCH/CHILLI PIECES,10000,10000,50 GM,PLPCH ,CHILLI PIECES
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/GM/PLPCH/CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH ,Cream Cracker (from MALIBAN/490/GM/PLPCH)
COUNTRY STYLE FOODS,SMAK,SMAK APEMA KAHATA TEA 200,200,GM,200GM,PLPCH,SMAK APEMA KAHATA TEA
RECKITT BENCKISER (LANKA) LTD,HARPIC ,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500ML FREE DIVA FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER 200GM,500,ML,500ML,PLBOT,"1. Harpic Power Plus Stain Removal Original
   2. Rose & Lime Detergent Powder (Diva Fresh)"
UNILEVER SRI LANKA LTD,PEARS ,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM ,140,GM,140GM,CDBOX,Pears Baby Pure & Gentle Chooty Pack Baby Soap with Olive Oil & Moist. Cream
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE ,MUNCHEE KOME BITES SWEET MASALA FLAVOUR 15GM,10000,10000,SWEET MASALA ,PLPCH,Munchee Kome Bites Sweet Masala Flavor
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE ,MUNCHEE KOME BITES CHEESE CHILLI FLAVOUR 15GM,15,GM,15GM,PLPCH,Munchee Komi Bites Cheese Chilli Flavour
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/VANILLA/400 GM/TIN/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/CDBOX,10000,10000,400 GM,TIN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/VANILLA
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/CHOCOLATE/400 GM/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/TIN,10000,10000,400 GM,TIN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/CHOCOLATE
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET,"WOTAR (assuming ""WATER"" is a typo)"
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH ,Dritex Wings
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH ,SUPER CREAM CRACKER
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PET/ORIGINAL /FREE DIVA ROSE 200G,500,ML,500ML,PET,Harpic (Original)
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH/50/G/PLPCH/KIT-O CREAM BISCUT STRAWBERRY FLAVOURED,50,GM,50G,PLPCH,Cherish/Strawberry Flavoured Cream Biscuits (KIT-O)
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH,"MILK CRUNCH (Assuming ""MILK CRUNCH"" is the product name, as it is the only term that could likely be a specific food or branded item in this context.)"
ROYAL PRODUCTS,ROYAL,ROYAL GAMBOGE CREAM 100 GM ,10000,10000,100 GM,PLCUP ,Royal Gamboge Cream
THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA/100/ML/PLPCH/JAFFNA CURRY POWDER ,100,GM,100GM ,PLPCH ,JAFFNA CURRY POWDER
WONRICH DAIRY PVT LTD,WONRICH,WONRICH/75/GM/PLCUP/SET YOGHURT ,75,GM,75GM ,PLCUP ,SET YOGHURT
MY COOL LANKA PVT LTD,MY COOL FRUTO,MY COOL FRUTO/185/ML/PLCUP/GRAPE FLAVOURED DRINK,185,ML,185ML,PLCUP,Grape Flavoured Drink
CHERISH BISCUIT (PVT) LTD,CHERISH CREAM WAFERS,CHERISH/30/GM/PLPCH/LEMON CREAM WAFERS,30,GM,30G,PLPCH,LEMON CREAM WAFERS
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
CARGILLS QUALITY DAIRIES (PVT) LTD,KIST NIYAMA CREAM CRACKER,KIST/500/G/PLPCH/NIYAMA CREAM CRACKER SAVE RS 60,500,GM,500G,PLPCH,NIYAMA CREAM CRACKER
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/G/PLPCH/FULL CREAM MILK POWDER,200,GM,200G,PLPCH,FULL CREAM MILK POWDER
DELMAR LANKA PVT LTD,DELMALIGHT,DELMALIGHT/115×2/G/EWRPK/LIME FRESH SAVE RS 30,230,GM,230G,EWRPK,"LIME FRESH (Based on the provided string, it seems like ""Lime Fresh"" could be a possible product name. However, without more context or a specific pattern for product names in this format, I can't guarantee that this is exactly correct.)"
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL+FREE DIVA FRESH 200G,500,ML,500ML,PLBOT,Harpic Power Plus 10X Advanced Original
SUNSHINE COUNSUMER LANKA LTD,ZESTA,ZESTA/390G/TIN/PREMIUM BOPF FREE TIN CADDY,390,GM,390G,TIN,Premium BOPF Free Tin Caddy
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,10000,10000,250 GM,PLPCH,Curry Powder
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLI POWDER,10000,10000,250 GM,PLPCH,Chilli Powder
MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK ,10000,10000,315,PLPCH ,REAL CHOCOLATE CREAM BISCUIT
SUNIL INDUSTRIES ,GOVIYA ,GOVIYA \400\G\EWRPK \WASHING SOAP SAVE R.S 40,400,GM,400G,EWRPK ,Washing Soap (Save R.S 40) --> Washing Soap
ROYAL DAIRY LANKA (PVT) LTD,ROYAL,ROYAL\80\ML\PL CUP\JELLY YOGHURT ,80,ML,80ML,PL CUP,"Jelly Yogurt (Assuming ""Royal"" might be a brand name)"
HEMAS MARKETING,DIVA FRESH,DIVA/FRESH/3 IN 1/GARDENIA & ROSE/1000 KG/SAVE RS.50/=/PLPCH,10000,10000,1000 GM,PLPCH,DIVA/FRESH/3 IN 1/GARDENIA & ROSE
JAT HOLDINGS,JAT ,JAT/5/L/TIN/WOOD COATING SOLUTIONS ,10000,10000,5 L,TIN,Wood Coating Solutions
CEYLON BISCUITS LIMITED,WILLIAMS TRENDY WAFERS VANILLA ,WILLIAMS TRENDY/72/GM/PLPCH/WAFERS VANILLA FLAVOURD ,10000,10000,72 GM,PLPCH ,Williams Trendy Vanilla Wafers
DARLEY BUTLER,SUNNY,SUNNY/50/GM/PLPCH/ORANGE AND ROSE FRESH WITH ALOE VERA ,10000,10000,50 GM,PLPCH ,Orange and Rose Fresh with Aloe Vera
DARLEY BUTLER,SUNNY,SUNNY/50/G/EWRPK/NO-1/ORANGE & ROSE FRESH  WITH ALOEVERA,50,GM,50G,EWRPK ,ORANGE & ROSE FRESH WITH ALOE VERA
NESTLE LANKA,MAGGI,MAGGI/75/G/NO-1/EWRPK/ PAPARE BLAST,75,GM,75G,EWRPK ,Papare Blast
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,"Papare Blast (Based on the provided string, it seems to be a product name without any additional context about the product's category or nature.)"
NARAH STATIONERS,TEN,TEN/80/PGS/BOOK/MY NOTES A6,10000,10000,80 PGS,BOOK,MY NOTES (A6)
GAMI RASA FOOD PRODUCTS,GAMI RAHASA,GAMI RAHASA POLOS SOYA MEAT 50GM,50,GM,50GM,PLPCH,GAMI RAHASA POLOS SOYA MEAT
GAMAGE PRODUCTS,GAMAGE ,GAMAGE TURMERIC POWDER 25GM,25,GM,25GM,PLPCH,GAMGE TURMERIC POWDER
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY PURE & GENTLE BABY SOAP WITH OLIVE OIL & MOISTURE CREAM 90GM,90,GM,90GM,CDBOX,Baby Pure & Gentle Baby Soap with Olive Oil & Moisture Cream
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE CR/40 PAGES/1NO,10000,10000,40 PAGES,1NO,"WRITE (Without the quantity, unit, or pack type)"
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,SUPER CREAM CRACKER ENRICHED WITH VITAMINS
CHIRAN INDUSTRIES (PVT) LTD,NANO,NANO/5000/ML/PLBT/BOTTLED DRINKING WATER,5000,ML,5000ML,PLBT,Drinking Water
SAL HERBALS PRODUCTS ,SAL,SAL/600/ML/PLBOT/NATURAL ALOE VERA DETERGENT LIQUID,10000,10000,600 ML,PLBOT ,Natural Aloe Vera Detergent Liquid
DIAMOND BEST FOODS (PVT) LTD,ZARA,ZARA/18/GM/PLPCH/DAILY 2 IN 1 MILK POWDER BLEND WITH ADDED SUGAR,10000,10000,18 GM,PLPCH ,2 IN 1 MILK POWDER BLEND WITH ADDED SUGAR
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/15/GM/PLPCH/KOME RICE CRACER BITES SWEET MASALA FLOVOUR,10000,10000,15 GM,PLPCH ,KOME RICE CRACER BITES SWEET MASALA FLOVOUR
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK,10000,10000,315 GM,PLPCH ,Real Chocolate Cream Biscuits
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/85/GM/PLPCH/YOYO CHOCO CREAM,10000,10000,85 GM,PLPCH ,YOYO CHOCO CREAM
LAKGALA PRODUCTS,LAKGALA,LAKGALA/50/GM/PLPCH/CURRY POWDER ,10000,10000,50 GM,PLPCH ,CURRY POWDER
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/CUTLFISH SOYA MEAT,100,GM,100GM,PLPCH,CUTLFISH SOYA MEAT
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/PRAWNS SOYA MEAT,100,GM,100GM,PLPCH,PRAWNS SOYA MEAT
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET,WOTAR (assuming it's a reasonable assumption for a drink product)
RUHUNULAND MARKETING,RUHUNULAND,RUHUNULAND/50G/POCH PACK /CHILE PIECE ,50,GM,50G,POCH ,Chile Piece
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH ,Cream Cracker (from MALIBAN/490/G/PLPCH)
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ,75,GM,75G,PLPCH ,Papaer Blast Instant Noodles
BRINTA ENTERPRISES (PVT) LTD,BRINTA,BRINTA/50/GM/PLPCH/JAFFNA CURRY POWDER,50,GM,50G,PLPCH,Jaffna Curry Powder
JAT HOLDINGS,SAYERLACK,SAYERLACK WB SELF SEALER FOR INTERIOR GLOSS - 40%/1LTR/PLCAN ,10000,10000,1 LTR,PLCAN,Sayerlack WB Self Sealer for Interior Gloss
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,SUPER CREAM CRACKER ENRICHED WITH VITAMINS
HEMAS MARKETING,DIVA DIRIYA,DIVA/500/GM/PLPCH/DIRIYA/DIRT LIFE TECHNOLOGY/DETERGENT POWDER ,10000,10000,500 GM ,PLPCH ,Dirt Life Technology Detergent Powder
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY ,PANDA BABY/50/ML/PLBOT/SHAMPOO/WITH NELLI AND NEEM,10000,10000,50 ML,PLBOT,PANDA BABY SHAMPOO WITH NELLI AND NEEM
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/ORIGINAL/FREE DIVA ROSE &LIME DETERGENT POWDER 200G,500,ML,500ML,PLBOT,Harpic Original Free Diva Rose & Lime Detergent Powder
UPALI CONSUMER PRODUCTS,SANTOOR,SANTOOR/300/GM/EWRPK/SANDAL & TURMERIC (100G*3) SAVE RS55/=,300,GM,300GM,EWRPK,SANDAL & TURMERIC
DARLEY BUTLER & CO.LIMITED ,SUNNY,SUNNY ORANGE & ROSE FRESH WITH ALOE VERA LAUNDRY DETERGENT POWDER 50GM,50,GM,50GM,PLPCH,Sunny Orange & Rose Fresh with Aloe Vera Laundry Detergent Powder
JANRICH FOODS LTD,KELLS,KELLS SOYA SAUCE 650ML,650,ML,650ML,PLBOT,KELL'S SOYA SAUCE
UNILEVER SRI LANKA LTD,PEARS ,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM ,140,GM,140GM,CDBOX,Baby Soap with Olive Oil & Moist. Cream (Chooty Pack)
NIPPON PAINT LANKA (PVT) LTD,NIPPON PAINT BREEZE,"NIPPON/1/L/PL CANISTER/BREEZE,3 IN 1 WATERPROOFING PAINT, COLOUR ",1,LTR,1LTR,PL CANISTER ,3 In 1 Waterproofing Paint Breeze (This is a best guess as the original description does not explicitly mention the product name)
CEYLON CONSUMER CARE INDUSTRIES,CLOREX ,CLOREX/50/ML/PBT/NO-1/DEEP ACTION POWER ORIGINAL ,500,ML,500ML ,PBT,Deep Action Power Original (Based on the given information)
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD ,CHOICE FOOD/20/G/EWRPK/NO-1/GARAM MASALA,20,GM,20G,EWRPK ,Garam Masala (based on the provided string)
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD ,CHOICE FOOD/45/G/EWRPK/NO-1/BBQ MIX,45,GM,45G,EWRPK,BBQ Mix
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/1KG/PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER ,1,KG,1KG,PLPCH ,"DIRT LIFT TECHNOLOGY DETERGENT POWDER (DIVA DIRIYA is a brand, not a product in this context)"
CEYLON BISCUITS LIMITED,MUNCHEE KOME,MUNCHEE KOME/15G  /PLPCH/SWEET MASALA FLAVOUR BITES ,15,GM,15G,PLPCH ,"Sweet Masala Flavour Bites (This is the product name extracted from the given description. It does not include quantity, unit, or pack type.)"
MINARA FOODS (PVT) LTD,MINARA,MINARA/5000/GM/PLPCH/ SPECIAL NOODLES ,10000,10000,5000 GM,PLPCH ,SPECIAL NOODLES
TRADEX INDUSTRIAL PARK,OMIL,OMIL/100/GM/CDBOX/OMIL KOHOMBA SOAP WITH COCONUT AND NEEM OIL,100,GM,100GM,CDBOX,OMIL KOHOMBA SOAP
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/SEAFOOD FLAVOUR ,50,GM,50GM,PLPCH ,SEAFOOD FLAVOUR
SUNSHINE COUNSUMER LANKA LTD,DAINTEE X-TRA,DAINTEE X-TRA/3/GM/1/NO/FRESH CENTERE FILLED BUBBLE GUM STRAWBERRY ,3,GM,3GM,10000,Daintée X-TRA Fresh Center Filled Bubble Gum Strawberry
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CHICKEN FLAVOUR ,50,GM,50GM,PLPCH ,"CHICKEN FLAVOUR (in this context, it seems to represent a product flavor rather than an actual product name)"
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CURRY FLAVOUR ,50,GM,50GM,PLPCH ,"CURRY FLAVOUR (assuming ""Curry Flavour"" is the product name in this context)"
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH,PAPARE BLAST
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE/40/CR/PAGES/ CR BOOK,40,PAGES,40PAGES,BOOK,CR BOOK
