CATEGORY,MANUFACTURE,BRAND,ITEMDESC,PACKTYPE,qty,uomdesc,PACKSIZE,MATCHED,catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size,ERROR,ProductName
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA BOOST/PINK GUAVA/500ML/PBT,PBT,500.0,,500,1,,,,,,,,,MANUFACTURE,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA/250ML/PBT,PBT,250.0,,250,1,,,,,,,,,MANUFACTURE,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA BOOST/PINK GUAVA/500ML/PBT,PBT,500.0,,500,1,,,,,,,,,MANUFACTURE,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA/250ML/PBT,PBT,250.0,,250,1,,,,,,,,,MANUFACTURE,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA BOOST/250ML/PBT,PBT,250.0,,250,1,,,,,,,,,MANUFACTURE,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,JAGHADAMBA FOODS PVT.LTD NEPAL ,CHABAA BOOST,CHABAA BOOST/PINK GUAVA/500ML/PBT,PBT,500.0,,500,1,,,,,,,,,MANUFACTURE,
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,0,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125.000 ML,,GOODLIFE-LYCHEE-LITCHI
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,0,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125.000 ML,,GOODLIFE-LYCHEE-LITCHI
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH ,FARM FRESH COCO CAN 180ML,CAN,180.0,ML,180ML,1,,,,,,,,,PACKSIZE,
134,SINGAPORE BEVERAGE-NEPAL PV.LTD,PIMBU PAANI,LEMONZAAAAA,PET,600.0,,600,1,,,,,,,,,MANUFACTURE,
134,COCA COLA COMPANY IMPRTD-IMPTD,MAAZA,MAAZA\200ML\PBT\MANGO,PBT,200.0,ML,200ML,1,,,,,,,,,PACKTYPE,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,0,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125.000 ML,,GOODLIFE-LYCHEE-LITCHI
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,2,,,,,,,,,ITEMDESC,GOODLIFE-LYCHEE-LITCHI  - GOODLIFE LYCHEE LITCHI
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MANGO PBT 250ML,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MANGO PBT 1000ML,PBT,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,COCA COLA COMPANY IMPRTD-IMPTD,MAAZA,MAAZA\200ML\PBT\MANGO,PBT,200.0,ML,200ML,1,,,,,,,,,PACKTYPE,
134,HIMALAYAN BOTTLERS PVT.LTD NEPAL,AMRAPALI KOOL,AMPRALI LITCHI\125ML\PBT\LICHI FLAVOUR ,PBT,125.0,ML,125ML,1,,,,,,,,,MANUFACTURE,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,DABUR INDIA LTD.- INDIA,REAL,REAL FRUIT POWER \135ML\TPK\KOOLERZ MANGO ,TPK,135.0,ML,135ML,1,,,,,,,,,PACKSIZE,
134,PEPSI COLA CMPNY IMPRTD-IMPRTD,SLICE,SLICE\1750ML\PBT\MANGO,PBT,1750.0,ML,1750ML,1,,,,,,,,,PACKTYPE,
134,MANAKAMANA FRUIT & BEVERAGE PVT.LTD,NEPAL,MANAKAMANA LICHEE\250ML\PBT\LICHEE FLAVOUR ,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST PINK GUAVA PBT 250ML,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MANGO PBT 250ML,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST LYCHEE PBT 1000ML,PBT,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MIXED FRUIT PBT 1000ML,PBT,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,CAN,160.0,ML,160ML ,0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK-ALMOND-BADAM & SAFFRON DRINK CAN 160 ML,CAN,160.0,ML,160.000 ML,,REVA BADAM DRINK  SAFFRON DRINK
134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,CAN,160.0,ML,160ML ,0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK-ALMOND-BADAM & SAFFRON DRINK CAN 160 ML,CAN,160.0,ML,160.000 ML,,REVA BADAM DRINK  SAFFRON DRINK
134,BHAGESHWOR FOOD AND BEVERAGE NEPAL,KESHARI,KESHARI/1000ML/PBT,PBT,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO CAN 250ML,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO-MANGO CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO MANGO
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO CAN 250ML,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO-MANGO CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO-MANGO
118,LUMBINI BEVERAGE PVT.LTD,MASALA,BUZZ,,,,,1,,,,,,,,,MANUFACTURE,
118,AGRO THAI FOODS PVT LTD-NEPAL,COSTA BRAVA SODA,COSTA BRAVA SODA/PBT/500ML/70/AGRO THAI FOODS PVT LTD-NEPAL,PBT,500.0,ML,500ML,1,,,,,,,,,PACKTYPE,
134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-POMEGRANATE CAN 240ML ,CAN,240.0,ML,240ML,2,,,,,,,,,ITEMDESC,Fruit Jump-Pomegranate
134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-POMEGRANATE CAN 240ML ,CAN,240.0,ML,240ML,0,134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-POMEGRANATE-POMEGRANATE CAN 240 ML,CAN,240.0,ML,240.000 ML,,POMEGRANATE JUICE
134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-PINEAPPLE CAN 240ML,CAN,240.0,ML,240ML,0,134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-PINEAPPLE-PINEAPPLE CAN 240 ML,CAN,240.0,ML,240.000 ML,,Pineapple Juice
134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-PINEAPPLE CAN 240ML,CAN,240.0,ML,240ML,0,134,FRUIT AGRO PRODUCT-NEPAL,FRUIT JUMP,FRUIT JUMP-PINEAPPLE-PINEAPPLE CAN 240 ML,CAN,240.0,ML,240.000 ML,,Pineapple Juice
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,PET,119.0,ML,119 ML,1,,,,,,,,,BRAND,
134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO ORANGE\250ML\CAN\RS:100\MARUTI DAIRY PRODUCT NEPAL,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-ORANGE-ORANGE CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO Orange
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO ORANGE\250ML\CAN\RS:100\MARUTI DAIRY PRODUCT NEPAL,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-ORANGE-ORANGE CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO-ORANGE
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO MANGO\250ML\CAN\RS:100\MARUTI DAIRY PRIVATE LIMITED NEPAL,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO-MANGO CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO-MANGO
134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO MANGO\250ML\CAN\RS:100\MARUTI DAIRY PRIVATE LIMITED NEPAL,CAN,250.0,ML,250ML,0,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA FRESHO,GOPALA FRESHO-MANGO-MANGO CAN 250 ML,CAN,250.0,ML,250.000 ML,,GOPALA FRESHO MANGO
134,AGRO THAI FOODS PVT LTD-NEPAL,COSTA BRAVE,COSTA BRAVE CRANBERRY\SPARKLING DRINK\250ML\PET\RS:50\AGRO THAI FOODS PVT.LTD NEPAL,PET,250.0,ML,250ML,1,,,,,,,,,BRAND,
134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,CAN,180.0,ML,180ML,1,,,,,,,,,MANUFACTURE,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,PET,119.0,ML,119 ML,1,,,,,,,,,BRAND,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA LITCHI/PBT/110ML/20/SPRING FOOD & BEVERAGE-NEPAL,PBT,110.0,ML,110ML,1,,,,,,,,,PACKTYPE,
134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,CAN,160.0,ML,160ML ,0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK-ALMOND-BADAM & SAFFRON DRINK CAN 160 ML,CAN,160.0,ML,160.000 ML,,REVA BADAM DRINK / ALMOND & SAFFRON DRINK
134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,CAN,160.0,ML,160ML ,0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK-ALMOND-BADAM & SAFFRON DRINK CAN 160 ML,CAN,160.0,ML,160.000 ML,,REVA BADAM DRINK  SAFFRON DRINK
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
118,NEPAL M.D FOOD & BEVERAGE-NEPAL,CROSS-COLA,CROSS-COLA/1500ML/PBT/COLA,PBT,1500.0,ML,1500ML ,1,,,,,,,,,PACKTYPE,
