nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging
63941,FRESHVILLE SWEET (PVT) LTD,DELZIAS,DELZIAS CENTER FILL STRAWBERRY FLAVOUR BUBBLE GUM (3.2 GM) 1 NO,1,NO,1.00 NO,
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
54443,UNILEVER SRI LANKA LTD,LUX,LUX SOFT GLOW JASMINE & VITAMIN E 7 BEAUTY INGREDIANTS 70 GM EWRPK,70,GM,70.00 GM,EWRPK
64035,ASIAN CAUSEWAY PAINTS,CAUSEWAY AQUA SAFE,CAUSEWAY AQUA SAFE 6 IN 1 PREMIUM EXTERIOR WATERPROOFING PAINT- BRILLIANT WHITE 20 L - EXTERIOR,20000,ML,20000.00 ML,PL-CANISTER
54278,UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY ALOE VERA & NEEM CHOOTY PACK BABY SOAP 70 GM CDBOX,70,GM,70.00 GM,CDBOX
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63341,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT WITH REAL LEMON POWER LAUNDRY BAR (110*3) 330 GM EWRPK + FREE SUNLIGHT ROYAL LAVENDER FRAGRANCE LAUNDRY BAR 110 GM EWRPK,440,GM,330.00 GM,EWRPK
64034,HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA (HEMAS) A+ VANILLA FLAVOUR NUTRITIONAL SUPPLEMENT 400 GM TIN + SAVE RS 500,400,GM,400.00 GM,TIN
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
64028,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER (300+36) 336 GM CDBOX + FREE 36 GM,336,GM,336.00 GM,CDBOX
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64090,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 30 GM CDBOX,30,GM,30.00 GM,CDBOX
12543,NATURE FRESH BEVERAGES (PVT) LTD,NATURE FRESH,NATURE FRESH 1000 ML PLBOT,1000,ML,1000.00 ML,PLBOT
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
64018,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL KERATIN PROTEIN & VITAMIN C ACTIV-MIX 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75 GM EWRPK,80,ML,80.00 ML,PLBOT
63739,C.B COSMETICS,BN,BN - ROYAL MARRIAGE EAU DE PARFUM NATURAL SPRAY VAPORISATEUR 120 ML CDBOX (C.B COSMETICS),120,ML,120.00 ML,CDBOX
64012,CIC HOLDINGS (PVT) LTD,PEADIA SURE,CIC PEDIA SURE GOLD CLASSIC VANILLA FLAVOUR NUTRITIONAL SUPPLEMENT FOR CHILDREN 1-10 YEARS 380 GM TIN,380,GM,380.00 GM,TIN
51411,HEMAS MARKETING,FEMS,FEMS DRYTEX-WINGS 10 NO,10,NO,10.00 NO,10NO
51410,HEMAS MARKETING,FEMS,FEMS COTTON FEEL-WINGS 10 NO,10,NO,10.00 NO,10NO
63910,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH + SAVE RS 15,25,GM,25.00 GM,PLPCH
64016,CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA CURRY LEAVES AMLA & BRINGARAJ BLACK SHIELD SHAMPOO 40 ML PLBOT,40,ML,40.00 ML,PLBOT
64014,CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA AMLA HENNA & ALOE VERA DRYNESS SHIELD SHAMPOO 40 ML PLBOT,40,ML,40.00 ML,PLBOT
64015,CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHIKAKAI & HIBISCUS HAIR FALL SHIELD SHAMPOO 40 ML PLBOT,40,ML,40.00 ML,PLBOT
64013,MEDI FIT CARE,DEVI,DEVI DAILY MOISTURIZING ANTI DANDRUFF HAIR FALL PROTECTION SHAMPOO 100 ML PLBOT,100,ML,100.00 ML,PLBOT
64017,CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHIKAKAI & HIBISCUS HAIR FALL SHIELD SHAMPOO 80 ML PLBOT,80,ML,80.00 ML,PLBOT
64030,THENNAKOON FOOD PRODUCTS,THENNAKOON,THENNAKOON PEPPER POWDER 30 GM PLPCH,30,GM,30.00 GM,PLPCH
64029,THENNAKOON FOOD PRODUCTS,THENNAKOON,THENNAKOON TURMERIC POWDER 30 GM PLPCH,30,GM,30.00 GM,PLPCH
64090,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 30 GM CDBOX,30,GM,30.00 GM,CDBOX
64089,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 70 GM CDBOX,70,GM,70.00 GM,CDBOX
14617,EDWA HOLDINGS (PVT) LTD,PAZA MIXED FRUIT,PAZA MIXED FRUITS NECTAR-PET 200 ML,200,ML,200.00 ML,PET
14616,EDWA HOLDINGS (PVT) LTD,PAZA MANGO,PAZA MANGO NECTAR-PET 200 ML,200,ML,200.00 ML,PET
14619,EDWA HOLDINGS (PVT) LTD,PAZA WOODAPPLE,PAZA WOOD APPLE NECTAR-PET 200 ML,200,ML,200.00 ML,PET
63978,MALIBAN BISCUIT MANUFACTORIES,MALIBAN SMART CREAM CRACKER,MALIBAN CREAM CRACKER 190 GM PLPCH + FREE ASTRA FAT SPREAD MULTI-PURPOSE SPREADING COOKING AND BAKING 18 GM PLPCH,190,GM,190.00 GM,PLPCH
64011,CEYLONLIGHT PRODUCTS,CLEAN DAY,CLEAN DAY WITH REAL LEMON LAUNDRY BAR 120 GM EWRPK,120,GM,120.00 GM,EWRPK
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
20769,CARGILLS PRODUCTS,MAGIC,MAGIC DAIRY ICE CREAM VANILLA AND CHOCOLATE 1 L PLTUB,1000,ML,1000.00 ML,PLTUB
14615,PEPSICO INTERNATIONAL,OLE CREAM SODA,OLE CREAM SODA-PET 400 ML,400,ML,400.00 ML,PET
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63929,DELMAR LANKA PVT LTD,CALIN,CALIN KOHOMBA SOAP WITH NEEM AND TURMERIC EXTRACT 70 GM CDBOX,70,GM,70.00 GM,CDBOX
48509,SUNSHINE COUNSUMER LANKA LTD,WATAWALA TEA,WATAWALA PURE CEYLON TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63955,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400,GM,400.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
63979,SIRIGAMA PRODUCT,SIRIGAMA,SIRIGAMA SOYA MEAT 200 GM PLPCH,200,GM,200.00 GM,PLPCH
63974,CHERISH BISCUIT (PVT) LTD,CHERISH WAFERS,CHERISH WAFERS CHOCO FLAVOURED CREAM 310 GM PLPCH,310,GM,310.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
64019,AGGRA,AGGRA,AGGRA - COLOUR SPARX COLOUR PENCIL - 12 COLOUR PACK - 1 NO CDBOX,1,NO,1.00 NO,CDBOX
63983,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE VANILLA FLAVOUR DRINKING YOGHURT 180 ML PLBOT,180,ML,180.00 ML,PLBOT
63980,HEMAS MARKETING,DANDEX,DANDEX ANTI DANDRUFF COOLING + RELIEF COOL MINT & ALOE SHAMPOO 80 ML PLBOT + SAVE RS 50,80,ML,80.00 ML,PLBOT
64093,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 340 GM PLPCH,340,GM,340.00 GM,PLPCH
64089,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 70 GM CDBOX,70,GM,70.00 GM,CDBOX
58482,UNILEVER SRI LANKA LTD,LUX,LUX BRIGHT GLOW ROSE & VIT C + E 70 GM EWRPK,70,GM,70.00 GM,EWRPK
64032,RIO MARKETING (PVT) LTD,KIWI,KIWI - EX BOOK 1/2 INCH SQUARE RULED (A5) 120 PGS - 1 NO,1,NO,1.00 NO,
64021,ATLAS AXILLIA CO. (PVT) LTD,HOMERUN,HOMERUN - 1/2 INCH SQUARE RULE BOOK (A5) 200 PGS - 1 NO,1,NO,1.00 NO,
64020,ATLAS AXILLIA CO. (PVT) LTD,HOMERUN,HOMERUN - 1/2 INCH SQUARE RULE BOOK (A5) 160 PGS - 1 NO,1,NO,1.00 NO,
63978,MALIBAN BISCUIT MANUFACTORIES,MALIBAN SMART CREAM CRACKER,MALIBAN CREAM CRACKER 190 GM PLPCH + FREE ASTRA FAT SPREAD MULTI-PURPOSE SPREADING COOKING AND BAKING 18 GM PLPCH,190,GM,190.00 GM,PLPCH
58131,UNILEVER LIPTON CEYLON LTD,RASA KAHATA,RASA KAHATA PURE CEYLON BLACK TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64043,PURE BLEND (PVT) LTD,PURE BLEND,PURE BLEND CHILLI PIECES 50 GM PLPCH (PURE BLEND),50,GM,50.00 GM,PLPCH
63947,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN ALMOND OIL & VITAMIN C ACTIV MIX 80 ML PLBOT + FREE LUX BRIGHT GLOW ROSE & VIT C+E SOAP 70 GM EWRPK,80,ML,80.00 ML,PLBOT
14614,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY TAMARIND,MY TAMARIND - PET 750 ML,750,ML,750.00 ML,PET
63981,MULTI CHEMI INTERNATIONAL LTD,BONITA,BONITA ELEGANT BEAUTY EL GERANIO SOAP 65 GM CDBOX,65,GM,65.00 GM,CDBOX
63982,MULTI CHEMI INTERNATIONAL LTD,BONITA,BONITA ELEGANT BEAUTY EL JACINTO SOAP 65 GM CDBOX,65,GM,65.00 GM,CDBOX
63947,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN ALMOND OIL & VITAMIN C ACTIV MIX 80 ML PLBOT + FREE LUX BRIGHT GLOW ROSE & VIT C+E SOAP 70 GM EWRPK,80,ML,80.00 ML,PLBOT
64025,GALGEDARA MARKETING (PVT) LTD,LEAVES,LEAVES - CR BOOK (A4) 200 PGS - 1 NO,1,NO,1.00 NO,
64024,GALGEDARA MARKETING (PVT) LTD,LEAVES,LEAVES - CR BOOK (A4) 120 PGS - 1 NO,1,NO,1.00 NO,
64022,GALGEDARA MARKETING (PVT) LTD,LEAVES,LEAVES - DRAWING BOOK (A4) 40 PGS - 1 NO,1,NO,1.00 NO,
64023,GALGEDARA MARKETING (PVT) LTD,LEAVES,LEAVES - BLANK BOOK (A5) 80 PGS - 1 NO,1,NO,1.00 NO,
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
63999,NADITH SPECIAL PRODUCTS,NADITH,NADITH TURMERIC POWDER 50 GM PLPCH,50,GM,50.00 GM,PLPCH
64031,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS - PRACTICAL BOOK 1/2 INCH SQUARE RULE (B5) 80 PGS - 1 NO,1,NO,1.00 NO,
63991,NEW WASANA PRODUCTS,ONE SHOT,ONE SHOT (NEW WASANA PRODUCTS) MAGIC CLEANER CLOROX 100 ML PLBOT,100,ML,100.00 ML,PLBOT
63955,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400,GM,400.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64006,ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT DARK KNIGHT POCKET PERFUME EAU DE TOILETTE 18.5 ML PLBOT,18,ML,18.50 ML,PLBOT
63955,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400,GM,400.00 GM,PLPCH
64002,AUSSEE OATS MILLING PVT LTD,OATEO,OATEO JUMBO ROLLED OATS 500 GM PLPCH,500,GM,500.00 GM,PLPCH
64007,ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT FRESH EXTREME POCKET PERFUME EAU DE TOILETTE 18.5 ML PLBOT,18,ML,18.50 ML,PLBOT
64010,UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY ACTIVE FLORAL BABY COLOGNE 100 ML CDBOX + FREE PEARS RATHMAL & KOKUM BABY SOAP 90 GM CDBOX,100,ML,100.00 ML,CDBOX
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
63992,UNILEVER SRI LANKA LTD,VIM,VIM LIME FRESH DISHWASH LIQUID 500 ML PLBOT + SAVE RS 50,500,ML,500.00 ML,PLBOT
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
63759,HEMAS MARKETING,DIVA FRESH,DIVA FRESH 3 IN 1 GARDENIA & ROSE DETERGENT POWDER 1000 GM PLPCH,1000,GM,1000.00 GM,PLPCH
64057,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 125 GM CDBOX,125,GM,125.00 GM,CDBOX
63829,FONTERRA BRANDS LANKA (PVT)LTD,RED COW,RED COW - SUGAR ADDED MILK MIX 18 GM PLPCH,18,GM,18.00 GM,PLPCH
64004,SWADESHI INDUSTRIAL WORKS LTD,BLACK EAGLE,BLACK EAGLE MUSK COLOGNE SPRAY 100 ML CDBOX,100,ML,100.00 ML,CDBOX
63976,BELLOSE LANKA LTD,BELLOSE,BELLOSE HAIR LOSS CONTROL KERATIN CONDITIONER 210 ML PLBOT,210,ML,210.00 ML,PLBOT
63975,BELLOSE LANKA LTD,BELLOSE,BELLOSE PERFECT STRAIGHT KERATIN CONDITIONER 210 ML PLBOT,210,ML,210.00 ML,PLBOT
63964,GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE - SOFT TOOTHBRUSH 1 NO,1,NO,1.00 NO,
63984,HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION 200 ML PLBOT,200,ML,200.00 ML,PLBOT
63967,BELLOSE LANKA LTD,BODY DOO,BODY DOO - ALOE HYDRATION - BODY LOTION 200 ML PLBOT,200,ML,200.00 ML,PLBOT
63968,BELLOSE LANKA LTD,BODY DOO,BODY DOO - RESTORING CARE - BODY LOTION 200 ML PLBOT,200,ML,200.00 ML,PLBOT
64008,IMPORTED,CHICHI,CHICHI (IMPORTED) EAU DE TOILETTE NATURAL SPRAY VAPORISATEUR 100 ML CDBOX,100,ML,100.00 ML,CDBOX
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
14605,DUMBARA NATURAL FOOD (PVT) LTD,DUMBARA FRUIT PUNCH MANGO,DUMBARA FRUIT PUNCH MANGO DRINK- PET 200 ML,200,ML,200.00 ML,PET
53462,WIJAYA PRODUCTS (PVT) LTD,WIJAYA,WIJAYA PURE CEYLON TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64009,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY FLORAL - KOHOMBA WITH RATHMAL AND ROSE WATER BABY COLOGNE 30 ML CDBOX,30,ML,30.00 ML,CDBOX
64058,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) KING COCONUT OIL - LOTHSUBULU - ALOEVERA 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
63943,SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU (SIDDHALEPA) THAMBILI THEL SUDU HADUN AROODHA SAMAN PICHCHA KOKUM POTHU BABY SOAP 70 GM CDBOX + SAVE RS 15,70,GM,70.00 GM,CDBOX
64033,LITTLE LION ASSOCIATES,LITTLE LION,LITTLE LION SOFT LOG SPONGE ROLL CHOCOLATE FLAVOURED 200 GM CDBOX,200,GM,200.00 GM,CDBOX
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
63986,SILVERMILL NATURAL BEVERAGE (PVT) LTD,SILVERMILL COCONUT MILK,SILVERMILL COCONUT MILK 180 ML TPK,180,ML,180.00 ML,TPK
64027,SAMMANA STATIONER (PVT) LTD,SAMMANEE,SAMMANEE - BINDER GLUE 40 GM PLBOT,40,GM,40.00 GM,PLBOT
14611,COCA-COLA BEVERAGES,KINLEY SODA,KINLEY SODA-PET 750 ML,750,ML,750.00 ML,PET
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
64182,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VENIVAL,VENDOL VENIVAL TURMERIC-VENIVAL-MARGOSA-SANDALWOOD WITH ALOEVERA 90 GM CDBOX,90,GM,90.00 GM,CDBOX
35661,KDU EXPORTS (PVT) LTD,TEA JAR,TEA JAR THADA KAHATA TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63981,MULTI CHEMI INTERNATIONAL LTD,BONITA,BONITA ELEGANT BEAUTY EL GERANIO SOAP 65 GM CDBOX,65,GM,65.00 GM,CDBOX
63982,MULTI CHEMI INTERNATIONAL LTD,BONITA,BONITA ELEGANT BEAUTY EL JACINTO SOAP 65 GM CDBOX,65,GM,65.00 GM,CDBOX
61146,UNILEVER SRI LANKA LTD,POND'S,POND'S (USL)BRIGHT BEAUTY SPOT-LESS GLOW SERUM CREAM 15 GM CDBOX,15,GM,15.00 GM,CDBOX
63970,UTN TRADING,ENCHANTEUR,ENCHANTEUR CHARMING VISIBLY RADIANT SKIN VITAMIN A-C-E & NIACINAMIDE PERFUMED BODY LOTION 100 ML PLBOT,100,ML,100.00 ML,PLBOT
39660,UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE INTENSIVE CARE (USL) DEEP RESTORE 100 ML,100,ML,100.00 ML,PLBOT
48192,ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON NATURAL BRIGHTENING BODY LOTION 200 ML PBT,200,ML,200.00 ML,PLBOT
63972,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80,ML,80.00 ML,PLBOT
63993,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400,GM,400.00 GM,CDBOX
63971,UTN TRADING,ENCHANTEUR,ENCHANTEUR ROMANTIC VISIBLY RADIANT SKIN VITAMIN A-C-E & NIACINAMIDE PERFUMED BODY LOTION 100 ML PLBOT,100,ML,100.00 ML,PLBOT
51838,ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON LONG & STRONG CONDITIONER ENRICHED WITH HERBAL EXTRACTS 180 ML PLBOT,180,ML,180.00 ML,PLBOT
47512,UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE INTENSIVE CARE (USL) COCOA GLOW WITH PURE COCOA & SHEA BUTTER BODY LOTION 100 ML,100,ML,100.00 ML,PLBOT
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
63985,HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 3,ENFAGROW (HEMAS) A+ PRO STAGE 3 VANILLA FOR 1-3 YEARS 400 GM TIN-NUTRITIONAL SUPPLEMENT + SAVE RS 300,400,GM,400.00 GM,TIN
14608,KR ENTERPRISES,ISRAA LEMON,ISRAA LEMON FLAVOURED DRINK- PET 200 ML,200,ML,200.00 ML,PET
14609,KR ENTERPRISES,ISRAA MANGO,ISRAA MANGO MIX DRINK- PET 200 ML,200,ML,200.00 ML,PET
14607,KR ENTERPRISES,ISRAA GREEN APPLE,ISRAA GREEN APPLE JUICE-PET 200 ML,200,ML,200.00 ML,PET
14613,KR ENTERPRISES,ISRAA SELFIE STRAWB. & APPLE,ISRAA SELFIE STRAWBERRY AND APPLE FLAVOURED DRINK-PET 200 ML,200,ML,200.00 ML,PET
14610,KR ENTERPRISES,ISRAA GREEN APPLE,ISRAA GREEN APPLE JUICE-PET 500 ML,500,ML,500.00 ML,PET
63953,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25,GM,25.00 GM,PLPCH
64093,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 340 GM PLPCH,340,GM,340.00 GM,PLPCH
62268,ICL MARKETING,SAFE + GUARD,SAFE + GUARD MINT BREEZE SOAP 70 GM EWRPK + SAFE + GUARD MANDARIN TOUCH SOAP 70 GM EWRPK + SAVE RS 20,140,GM,70.00 GM,EWRPK
36315,WIJAYA PRODUCTS (PVT) LTD,WIJAYA,WIJAYA TEA 20 GM,20,GM,20.00 GM,PLPCH
20206,CEYLON COLD STORES,EH CHOCO VANILLA,ELEPHANT HOUSE CHOCO VANILLA NUT PLCUP 80 ML,80,ML,80.00 ML,PLCUP
63985,HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 3,ENFAGROW (HEMAS) A+ PRO STAGE 3 VANILLA FOR 1-3 YEARS 400 GM TIN-NUTRITIONAL SUPPLEMENT + SAVE RS 300,400,GM,400.00 GM,TIN
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
64065,STAR KING,STAR KING,STAR KING CLORAX 100 ML PLBOT,100,ML,100.00 ML,PLBOT
63969,UNIVERSAL PAINT,SUPERLUX,SUPERLUX EXTERIOR EMULSION - BRILLIANT WHITE 4 L - EXTERIOR,4000,ML,4000.00 ML,PL-CANISTER
14612,LEOAN MILK FOODS (PVT) LTD,LEOAN CHOCOLATE,LEOAN STERILIZED FLAVOURED MILK CHOCOLATE- RGB 180 ML,180,ML,180.00 ML,RGB
64057,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 125 GM CDBOX,125,GM,125.00 GM,CDBOX
63961,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA LEMONGRASS SOAP 67 GM EWRPK,67,GM,67.00 GM,EWRPK
63972,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80,ML,80.00 ML,PLBOT
35660,KDU EXPORTS (PVT) LTD,TEA JAR,TEA JAR THADA KAHATA TEA 100 GM PLPCH,100,GM,100.00 GM,PLPCH
64092,CEYLON BISCUITS LIMITED,MUNCHEE CRUNCHEE CAROLS,MUNCHEE CAROL COOKIES 85 GM PLPCH,85,GM,85.00 GM,PLPCH
35661,KDU EXPORTS (PVT) LTD,TEA JAR,TEA JAR THADA KAHATA TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63837,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT ROYAL LAVENDER FRAGRANCE LAUNDRY BAR (110*3) 330 GM EWRPK + BUY 2 GET 1 FREE,330,GM,330.00 GM,EWRPK
63436,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 30,220,GM,220.00 GM,EWRPK
63942,RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA KAHATA TEA 50 GM PLPCH,50,GM,50.00 GM,PLPCH
63997,LAKMINI PRODUCTS,LAKMINI,LAKMINI CHILLI PIECES 500 GM PLPCH,500,GM,500.00 GM,PLPCH
64007,ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT FRESH EXTREME POCKET PERFUME EAU DE TOILETTE 18.5 ML PLBOT,18,ML,18.50 ML,PLBOT
63996,LAKMINI PRODUCTS,LAKMINI,LAKMINI CHILLI POWDER 500 GM PLPCH,500,GM,500.00 GM,PLPCH
