MATCHED,nitemcode,Suggestion,NITEMCODE,Match_Flag
0,64082,9,64082,0
1,9,64092,64092,0
1,9,51575,47514,1
2,9,9,39660,1
0,63993,9,63993,0
1,9,63944,9,0
1,9,63944,9,0
1,9,63944,63944,0
1,9,64178,64178,0
1,9,14634,14634,0
1,9,9,9,0
1,9,64208,9,0
1,9,64208,9,0
1,9,64174,64174,0
0,63959,9,63959,0
1,9,9,9,0
1,9,64040,64040,0
1,9,64038,64038,0
0,63960,9,63960,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
0,64169,9,64169,0
0,64081,9,64081,0
0,64082,9,64082,0
2,9,9,64009,1
0,64132,9,64132,0
2,9,9,63993,1
0,63993,9,63993,0
1,9,9,9,0
1,9,64036,64036,0
1,9,63960,63960,0
1,9,9,63964,1
1,9,9,64108,1
1,9,9,9,0
2,9,9,63973,1
1,9,63961,63961,0
1,9,51411,51411,0
0,51694,9,51694,0
0,63993,9,63993,0
0,64163,9,64163,0
0,64057,9,64057,0
2,9,9,63993,1
1,9,64162,64162,0
0,51863,9,51863,0
1,9,63964,63964,0
0,64160,9,64160,0
1,9,63595,63595,0
0,63993,9,63993,0
1,9,64006,64006,0
1,9,64007,64007,0
1,9,9,9,0
1,9,9,9,0
0,64018,9,64018,0
1,9,64161,64161,0
0,63973,9,63973,0
1,9,14615,14615,0
1,9,9,9,0
1,9,9,9,0
1,9,9,21129,1
1,9,51411,51411,0
1,9,64131,64131,0
0,64155,9,64155,0
0,64156,9,64156,0
0,64157,9,64157,0
1,9,64134,64134,0
0,64158,9,64158,0
1,9,9,14627,1
1,9,63961,63961,0
1,9,9,9,0
1,9,9,64133,1
1,9,9,64138,1
2,9,9,38415,1
1,9,9,64153,1
1,9,47310,47310,0
0,14633,9,14633,0
2,9,9,64058,1
2,9,9,63943,1
1,9,64149,64149,0
1,9,9,9,0
1,9,64092,64092,0
1,9,9,64150,1
1,9,9,9,0
1,9,64161,63331,1
2,9,9,64036,1
1,9,64092,64092,0
0,63953,9,63953,0
1,9,9,9,0
2,9,9,63960,1
1,9,64112,64112,0
2,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,14628,1
2,9,9,63961,1
0,64159,9,64159,0
1,9,64092,64092,0
1,9,64152,64152,0
0,64175,9,64175,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64132,64132,0
1,9,9,9,0
0,37076,9,37076,0
1,9,9,9,0
1,9,64144,64144,0
2,9,9,63993,1
1,9,9,9,0
1,9,64151,64151,0
1,9,64151,9,0
1,9,64092,64092,0
1,9,53942,48507,1
1,9,64142,64142,0
1,9,9,9,0
1,9,56462,56462,0
2,9,9,64143,1
0,64145,9,64145,0
1,9,9,63970,1
0,64034,9,64130,1
1,9,9,9,0
1,9,63964,63964,0
0,64135,9,64135,0
0,64034,9,64034,0
1,9,48185,48185,0
0,63993,9,63993,0
1,9,9,63971,1
2,9,9,64146,1
2,9,9,51838,1
2,9,9,64148,1
2,9,9,51722,1
0,64136,9,64136,0
1,9,9,9,0
0,64176,9,64176,0
1,9,14630,14630,0
1,9,14631,14631,0
2,9,9,63993,1
0,63929,9,63929,0
0,64018,9,64018,0
1,9,64118,64118,0
2,9,9,63947,1
1,9,64007,64007,0
1,9,64006,64006,0
0,63960,9,63960,0
0,64036,9,64036,0
1,9,64009,64009,0
0,64113,9,64113,0
0,63953,9,63953,0
0,63947,9,63947,0
0,63953,9,63953,0
0,64120,9,64120,0
1,9,54060,54057,1
1,9,9,62705,1
0,54060,9,54060,0
0,63947,9,63947,0
1,9,9,64106,1
0,63955,9,63955,0
1,9,9,9,0
2,9,9,14612,1
2,9,9,14626,1
0,63975,9,63975,0
1,9,9,9,0
1,9,9,9,0
2,9,9,63961,1
0,64124,9,64124,0
0,63929,9,63929,0
1,9,63961,63961,0
1,9,9,47513,1
1,9,64112,64112,0
1,9,63595,63760,1
1,9,63595,63436,1
1,9,9,64117,1
1,9,9,9,0
0,37076,9,37076,0
2,9,9,63993,1
1,9,9,63978,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64084,64084,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,14623,14625,1
1,9,14623,14624,1
1,9,53886,53886,0
0,64016,9,64016,0
1,9,9,9,0
2,9,9,64129,1
0,58497,9,64109,1
1,9,9,53405,1
1,9,9,64164,1
0,64127,9,64126,1
1,9,64108,64108,0
0,64016,9,64014,1
1,9,64089,64089,0
0,64129,9,64128,1
1,9,9,52942,1
1,9,9,9,0
1,9,9,64110,1
1,9,9,64115,1
0,64127,9,64127,0
1,9,9,64114,1
2,9,9,64125,1
1,9,64107,64107,0
0,64016,9,64015,1
1,9,64116,64116,0
1,9,64111,64111,0
2,9,9,63947,1
0,64129,9,64017,1
1,9,47310,47310,0
1,9,31088,31088,0
1,9,9,9,0
1,9,63964,63964,0
1,9,51410,51410,0
1,9,64092,64092,0
1,9,9,9,0
1,9,64095,64095,0
1,9,63941,9,0
1,9,9,9,0
1,9,9,9,0
0,63953,9,63953,0
1,9,64006,64006,0
1,9,64007,64007,0
1,9,64059,63989,1
1,9,9,9,0
1,9,63971,63971,0
1,9,9,9,0
0,64096,9,64096,0
1,9,9,9,0
1,9,9,63981,1
2,9,9,63960,1
2,9,9,64036,1
1,9,9,64098,1
1,9,9,64100,1
1,9,9,9,0
1,9,9,64097,1
1,9,9,64101,1
1,9,9,9,0
0,64104,9,64104,0
2,9,9,64105,1
1,9,9,9,0
1,9,64094,64094,0
2,9,9,61502,1
2,9,9,63944,1
1,9,9,13317,1
1,9,9,13291,1
1,9,9,13319,1
1,9,9,13268,1
1,9,9,13745,1
1,9,9,14622,1
1,9,9,13269,1
1,9,64092,64092,0
1,9,9,39660,1
1,9,9,47513,1
1,9,63595,63760,1
1,9,63436,63595,1
1,9,63973,63973,0
1,9,63595,63436,1
2,9,9,64103,1
2,9,9,42522,1
2,9,9,63961,1
0,63955,9,63955,0
1,9,9,9,0
1,9,9,9,0
1,9,61146,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64092,64092,0
1,9,9,9,0
1,9,14624,14624,0
1,9,14623,14623,0
1,9,64085,64085,0
2,9,9,64086,1
0,64047,9,64047,0
2,9,9,63759,1
1,9,64092,64092,0
0,63993,9,63993,0
2,9,9,63943,1
2,9,9,64082,1
2,9,9,64081,1
1,9,9,9,0
1,9,64092,64092,0
1,9,9,64089,1
1,9,47513,47513,0
0,64091,9,64091,0
1,9,12975,9,0
1,9,40351,40351,0
1,9,9,64051,1
0,63953,9,63953,0
1,9,64001,64001,0
1,9,64208,9,0
1,9,64208,9,0
1,9,63964,63964,0
1,9,14627,14627,0
0,64083,9,64083,0
1,9,64082,64082,0
1,9,64081,64081,0
1,9,61843,61843,0
1,9,64007,64007,0
1,9,63595,63436,1
1,9,64027,64027,0
1,9,42522,63993,1
1,9,14621,14621,0
1,9,9,9,0
1,9,9,9,0
0,37076,9,37076,0
2,9,9,63961,1
2,9,9,63993,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
0,64068,9,64068,0
1,9,64082,64082,0
1,9,64081,64081,0
1,9,9,9,0
1,9,51575,51575,0
1,9,47310,47310,0
1,9,62006,62006,0
1,9,63984,63984,0
1,9,64208,9,0
1,9,64208,9,0
1,9,9,9,0
1,9,64053,64053,0
1,9,64074,9,0
1,9,64075,64075,0
1,9,64072,64072,0
1,9,64070,64070,0
1,9,64069,64069,0
1,9,64076,64076,0
1,9,64071,64071,0
1,9,64074,64074,0
1,9,64073,64073,0
1,9,9,63964,1
2,9,9,64056,1
0,63953,9,63953,0
1,9,9,12975,1
0,62569,9,62569,0
1,9,64078,64078,0
1,9,9,64055,1
2,9,9,63943,1
1,9,9,9,0
1,9,58497,58497,0
0,63949,9,63949,0
1,9,30623,30623,0
1,9,9,9,0
0,63953,9,63953,0
1,9,63955,63955,0
1,9,64079,64079,0
1,9,64080,64080,0
2,9,9,63961,1
0,63595,9,63595,0
1,9,63341,63341,0
1,9,64062,64062,0
1,9,64149,64061,1
1,9,64060,64060,0
1,9,63595,63436,1
1,9,9,9,0
1,9,9,9,0
2,9,9,64009,1
1,9,9,9,0
1,9,63595,63436,1
1,9,64049,64049,0
0,64047,9,64047,0
1,9,64048,64048,0
2,9,9,64065,1
2,9,9,64058,1
1,9,9,39662,1
0,64018,9,64018,0
0,63973,9,63973,0
2,9,9,64059,1
1,9,64092,64092,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
0,64064,9,64064,0
1,9,64067,64067,0
0,64066,9,64066,0
2,9,9,63978,1
2,9,9,63943,1
0,63993,9,63993,0
1,9,51411,51411,0
0,64042,9,64042,0
1,9,63820,63820,0
2,9,9,64084,1
1,9,9,63964,1
1,9,9,9,0
1,9,9,9,0
1,9,9,58775,1
1,9,9,36196,1
1,9,9,64092,1
0,63953,9,63953,0
1,9,63989,63989,0
1,9,51410,51410,0
1,9,51411,51411,0
2,9,9,63960,1
0,64046,9,64046,0
2,9,9,64036,1
2,9,9,63943,1
1,9,40351,40350,1
1,9,9,9,0
1,9,40351,40351,0
1,9,9,21128,1
0,63972,9,63972,0
1,9,64208,9,0
2,9,9,64037,1
1,9,64208,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,14620,14620,0
1,9,64184,64184,0
1,9,63978,63978,0
1,9,63941,63941,0
1,9,64092,64092,0
2,9,9,54443,1
1,9,9,9,0
1,9,9,9,0
1,9,63963,64035,1
1,9,54278,54278,0
1,9,64092,64092,0
1,9,63341,63341,0
1,9,63956,9,0
1,9,64034,64034,0
1,9,64183,9,0
1,9,9,63964,1
1,9,64183,9,0
1,9,9,9,0
1,9,64042,64028,1
1,9,64092,64092,0
1,9,63953,63953,0
1,9,9,9,0
1,9,64089,64090,1
1,9,9,9,0
1,9,9,9,0
1,9,9,12543,1
1,9,9,63964,1
0,64018,9,64018,0
2,9,9,63739,1
1,9,64012,64012,0
1,9,9,51411,1
1,9,9,51410,1
1,9,64208,9,0
1,9,9,9,0
1,9,63953,63910,1
0,64016,9,64016,0
0,64016,9,64014,1
0,64016,9,64015,1
2,9,9,64013,1
0,64129,9,64017,1
1,9,63957,9,0
1,9,63957,9,0
0,64030,9,64030,0
0,64029,9,64029,0
1,9,9,64090,1
1,9,9,64089,1
1,9,9,14617,1
1,9,9,14616,1
1,9,9,14619,1
1,9,9,63978,1
2,9,9,64011,1
1,9,9,9,0
1,9,64065,9,0
1,9,9,9,0
1,9,9,9,0
1,9,56462,64092,1
1,9,9,20769,1
1,9,14615,14615,0
1,9,64068,9,0
1,9,64092,64092,0
0,63929,9,63929,0
1,9,48509,48509,0
1,9,64208,9,0
0,63955,9,63955,0
1,9,64092,64092,0
0,63993,9,63993,0
2,9,9,63979,1
1,9,63974,63974,0
1,9,9,9,0
1,9,64092,64092,0
1,9,64019,64019,0
2,9,9,63983,1
1,9,63980,63980,0
1,9,64092,64093,1
1,9,64089,64089,0
2,9,9,58482,1
1,9,64032,64032,0
1,9,64021,64021,0
1,9,64021,64020,1
2,9,9,63978,1
1,9,9,9,0
1,9,58131,58131,0
0,64043,9,64043,0
1,9,9,9,0
0,63947,9,63947,0
1,9,9,14614,1
1,9,9,63981,1
1,9,9,63982,1
1,9,9,9,0
1,9,63947,63947,0
1,9,64025,64025,0
1,9,64024,64024,0
1,9,64022,64022,0
1,9,64023,64023,0
1,9,63595,63436,1
1,9,63999,63999,0
1,9,64031,64031,0
2,9,9,63991,1
1,9,9,9,0
0,63955,9,63955,0
0,63953,9,63953,0
1,9,64006,64006,0
0,63955,9,63955,0
0,64002,9,64002,0
1,9,64007,64007,0
1,9,64208,9,0
2,9,9,64010,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64208,9,0
0,63953,9,63953,0
1,9,64092,64092,0
2,9,9,63943,1
1,9,63992,63992,0
1,9,63961,63961,0
2,9,9,63759,1
0,64057,9,64057,0
0,63829,9,63829,0
0,64004,9,64004,0
0,63976,9,63976,0
0,63975,9,63975,0
1,9,63964,63964,0
1,9,9,9,0
1,9,63984,63984,0
1,9,63967,63967,0
1,9,63968,63968,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
0,64008,9,64008,0
1,9,9,9,0
1,9,63961,63961,0
1,9,14605,14605,0
2,9,9,53462,1
0,63953,9,63953,0
0,64009,9,64009,0
2,9,9,64058,1
2,9,9,63943,1
0,64033,9,64033,0
0,63953,9,63953,0
1,9,63986,63986,0
0,64027,9,64027,0
1,9,9,9,0
1,9,9,9,0
0,14611,9,14611,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,63595,63436,1
1,9,64181,64182,1
1,9,35661,35661,0
1,9,9,63981,1
1,9,9,63982,1
2,9,9,61146,1
1,9,9,63970,1
2,9,9,39660,1
0,48192,9,48192,0
0,63972,9,63972,0
0,63993,9,63993,0
1,9,9,9,0
1,9,9,63971,1
2,9,9,51838,1
2,9,9,47512,1
1,9,9,9,0
1,9,63961,63961,0
1,9,63985,63985,0
1,9,14608,14608,0
1,9,14609,14609,0
1,9,14607,14607,0
1,9,9,14613,1
1,9,14607,14610,1
0,63953,9,63953,0
1,9,64092,64093,1
1,9,62268,62268,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
2,9,9,36315,1
1,9,9,20206,1
0,63985,9,63985,0
1,9,9,9,0
1,9,9,9,0
2,9,9,63961,1
1,9,64065,64065,0
1,9,9,63969,1
1,9,14612,14612,0
0,64057,9,64057,0
1,9,63961,63961,0
0,63972,9,63972,0
1,9,9,9,0
1,9,35661,35660,1
1,9,64092,64092,0
1,9,35661,35661,0
2,9,9,63837,1
1,9,63595,63436,1
1,9,9,63942,1
0,63997,9,63997,0
1,9,64007,64007,0
0,63996,9,63996,0
1,9,64006,64006,0
2,9,9,63959,1
1,9,64174,63995,1
0,64087,9,64087,0
1,9,39168,39168,0
0,64001,9,64001,0
1,9,9,14603,1
1,9,9,14604,1
1,9,9,9,0
1,9,64208,9,0
1,9,63964,63964,0
1,9,64208,9,0
1,9,64044,64044,0
1,9,63988,63988,0
1,9,63990,63990,0
1,9,63989,63989,0
2,9,9,63973,1
1,9,63960,63960,0
1,9,9,9,0
1,9,9,57270,1
2,9,9,63956,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64092,64092,0
1,9,63966,63966,0
1,9,14606,14606,0
1,9,40181,40181,0
0,64009,9,64009,0
1,9,9,9,0
1,9,63595,63436,1
0,63998,9,63998,0
2,9,9,63797,1
1,9,63961,63961,0
1,9,9,9,0
1,9,63994,63994,0
1,9,64026,64026,0
0,63961,9,63961,0
0,63955,9,63955,0
0,59296,9,59296,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,14603,14603,0
2,9,9,63943,1
0,63953,9,63953,0
1,9,9,9,0
1,9,9,9,0
1,9,63987,63987,0
1,9,63987,9,0
1,9,9,14616,1
0,63953,9,63953,0
2,9,9,51722,1
1,9,50779,50779,0
1,9,9,9,0
2,9,9,39660,1
2,9,9,63947,1
1,9,9,9,0
1,9,9,9,0
1,9,9,63965,1
1,9,9,63963,1
1,9,63961,63961,0
2,9,9,54278,1
2,9,9,63944,1
0,58866,9,58866,0
2,9,9,58875,1
1,9,40181,40181,0
1,9,63950,63950,0
1,9,9,9,0
0,63953,9,63953,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,63958,63958,0
1,9,14611,14611,0
1,9,9,9,0
1,9,9,9,0
1,9,9,63954,1
1,9,9,9,0
0,63944,9,63944,0
2,9,9,63957,1
1,9,9,9,0
1,9,63948,63948,0
1,9,63939,63939,0
0,63949,9,63949,0
1,9,41118,41118,0
1,9,9,9,0
1,9,50530,50530,0
1,9,50530,50529,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,34569,34569,0
1,9,9,9,0
1,9,9,9,0
0,63992,9,63946,1
1,9,14594,14594,0
0,63953,9,63953,0
1,9,48507,53942,1
1,9,63942,63942,0
2,9,9,58875,1
2,9,9,54279,1
1,9,9,9,0
1,9,53942,48507,1
1,9,9,9,0
1,9,9,9,0
1,9,63595,63760,1
1,9,63436,63595,1
1,9,63595,63436,1
1,9,63940,63940,0
0,63945,9,63945,0
0,64000,9,64000,0
1,9,9,9,0
1,9,63937,63937,0
2,9,9,63938,1
1,9,9,9,0
1,9,9,9,0
1,9,60794,60794,0
0,47775,9,47775,0
1,9,63928,63928,0
1,9,13291,13291,0
0,63952,9,63952,0
1,9,63951,63951,0
1,9,14595,14595,0
0,41981,9,41981,0
0,63930,9,63930,0
2,9,9,60513,1
1,9,64184,64184,0
0,63927,9,63927,0
2,9,9,63331,1
1,9,64092,64092,0
1,9,63931,63931,0
1,9,9,9,0
1,9,9,9,0
0,63935,9,63935,0
1,9,63936,63936,0
2,9,9,63929,1
1,9,63932,63932,0
1,9,63934,63934,0
1,9,63933,63933,0
1,9,9,9,0
1,9,9,9,0
1,9,63941,63941,0
1,9,14611,14611,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,14596,14596,0
1,9,14600,14600,0
1,9,14597,14597,0
1,9,14599,14599,0
1,9,14598,14598,0
1,9,14601,14601,0
1,9,14602,14602,0
1,9,9,9,0
