MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/KOHOMBA,75.0,GM,75G,CD BOX,1,,,,,,,,,PACKSIZE,,64208
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400.0,GM,400G ,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,"NESTOMALT 1 ST CUP MALTED FOOD, Maggi Papare Kottu",
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/25/GM/CDBOX/NATURAL GLOW & PROTECT FOR A GOLDEN GLOW FACE CREAM,25.0,GM,25GM,CDBOX,1,,,,,,,,,BRAND,,64188
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/ANTI MARK & OIL CONTROL FOR SPOTLESS & OIL CLEAR SKIN FACE CREAM,15.0,GM,15GM,CDBOX,1,,,,,,,,,BRAND,,64084
EMAMI LANKA PVT LTD ,FAIR & HANDSOME,EMAMI FAIR & HANDSOME/30/GM/CDBOX/NATURAL FIRST HEALTHY RADIANCE CREAM,30.0,GM,30GM,CDBOX,1,,,,,,,,,MANUFACTURE,,54228
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/15/GM/CDBOX/NATURAL GLOW & PROTECT FOR GOLDEN FACE CREAM,15.0,GM,15GM,CDBOX,1,,,,,,,,,BRAND,,64188
CEYLON BISCUITS LIMITED,MUNCHEE CAROL,MUNCHEE CAROL COOKIES 85 GM ,85.0,GM,85 GM,PLPCH,1,,,,,,,,,BRAND,,64092
SUPER WHITE LANKA PVT LTD,SUPER WHITE,SUPER WHITE DISHWASH LEMON LIQUID 500 ML PLBOT,500.0,ML,500 ML,PLBOT,1,,,,,,,,,PACKTYPE,,40495
AKILA INDUSTRIES,SASEEBRIGHT,SASEEBRIGHT LEMON SOAP 90 GM ,90.0,GM,90 GM,EWRPK,1,,,,,,,,,MANUFACTURE,,
KMT TRADERS ,KMT BRIGHT ,KMT BRIGHT LIFE DISH WASH  EXTRA POWER OF LIME 4 L,4.0,LTR,4 L,PLCAN,1,,,,,,,,,MANUFACTURE,,
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400/GM/FULL CREAM MILK POWDER/CDBOX ,400.0,GM,400GM,CDBOX ,1,,,,,,,,,MANUFACTURE,,52305
DARLEY BUTLER & COMPANY ,DARLEY ,DARLEY / CORN FLOUR / 100GM / CDBOX,100.0,GM,100GM,CDBOX,1,,,,,,,,,MANUFACTURE,,
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ ROSE AND JASMINE /MOISTURISING SOAP /90G /CDBOX,90.0,GM,90G,CDBOX,1,,,,,,,,,BRAND,,64165
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/ SANDUN SEPALIKA /MOISTURISING SOAP /90G /CDBOX,90.0,GM,90G,CDBOX,1,,,,,,,,,BRAND,,60952
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10.0,NO,10 NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51411
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25.0,GM,25 GM,PLPCH,0,63953.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,10.0,NO,10 NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51410
GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE/SOFT/SENSITIVE/TOOTH BRUSH/1 NOS,1.0,NOS,1 NOS,NONE,1,,,,,,,,,PACKSIZE,,63964
DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/MANGO DRINK,200.0,ML,200 ML,PET,1,,,,,,,,,MANUFACTURE,,14605
DUMBARA NATURAL FOODS (PVT) LTD,DUMBARA,DUMBARA/200/ML/PET/FRUIT PUNCH/PAPAYA DRINK ,200.0,ML,200 ML,PET,1,,,,,,,,,MANUFACTURE,,14606
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1 ST CUP/MALTED FOOD DRINK+FREE MAGGI PAPARE KOTTU 75 GM,400.0,GM,400 GM,CDBOX ,2,,,,,,,,,ITEMDESC,Malted Food Drink,
LAKMEE EXPORTS,LAKMEE,LAKMEE/130/GM/PLPCH/MAGIC MIX/INSTANT NOODLES+FREE LAKMEE SAUCE 15GM SACHET ,130.0,GM,130 GM,PLPCH ,1,,,,,,,,,PACKSIZE,,60513
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS,67.0,GM,67 GM,EWRPK ,2,,,,,,,,,ITEMDESC,LEMONGRASS,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,500.0,ML,500 ML,PLBOT,1,,,,,,,,,PACKTYPE,,40351
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/200 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,200.0,ML,200ML,PLBOT,1,,,,,,,,,PACKTYPE,,40351
LAKJAYA PRODUCTS ,LAKJAYA NOODLES,LAKJAYA NOODLES\500\G\PPP\NOODLES,500.0,GM,500G,PPP,1,,,,,,,,,MANUFACTURE,,
KEELLS FOOD PRODUCTS LTD,ELEPHANT HOUSE,ELEPHANT HOUSE/300/GM/PLPCH/CHICKEN SAUSAGES ,300.0,GM,300GM ,PLPCH ,2,,,,,,,,,ITEMDESC,Chicken Sausages,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85 GM/PLPCH/CAROL COOKIES,85.0,GM,85 GM,PLPCH ,1,,,,,,,,,BRAND,,64092
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/PLPCH/400/G/FULL CREAM MILK POWDER SAVE 50/-,400.0,GM,400G,PLPCH ,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,Pelwatte Full Cream Milk Powder,
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/125 GM/ REAL COCONUT MILK POWDER/CDBOX,125.0,GM,125 GM,CDBOX,0,64057.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 125 GM CDBOX,125.0,GM,125.00 GM,CDBOX,,Maggi Real Coconut Milk Powder,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80/ML/PLBOT/DAMAGE RESTORE SHAMPOO ACTIV-MIX + FREE LIFEBUOY/75/GM/EWRPK/GLOWING SKIN SAKURA AND PINK CLAY ,80.0,ML,80ML ,PLBOT ,0,63972.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,"1. SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO
   2. LIFEBUY GLOWING SKIN SAKURA AND PINK CLAY SOAP",
HEMAS MARKETING,DIVA,DIVA/1000/GM/FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER + FREE DIVA ROSE & LIME 200 GM DETERGENT POWDER,1200.0,GM,1200 GM,PLPCH,1,,,,,,,,,PACKSIZE,,59950
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,250.0,GM,250 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
LANKA TRADERS,SUPREME,SUPREME/100/ML/CLOROX,100.0,ML,100 ML,PLBOT,1,,,,,,,,,BRAND,,64200
SUNIL GRINDING MILLS,SUNIL,SUNIL/1000/GM/CHILLI PIECES,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLY POWDER,250.0,GM,250 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
CROWN GRINDING MILLS,CROWN,CROWN/1000/GM/CHILLI PIECES,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
UNILEVER SRI LANKA LTD,VASELINE ,VASELINE /100ML/PET/NATURAL ALOE EXTACT,100.0,ML,100ML,PET,1,,,,,,,,,PACKTYPE,,
UNILEVER SRI LANKA LTD,WONDERLIGHT ,WONDERLIGHT /110G*2/POCH /JASMINE ,110.0,GM,110G*2,POCH ,1,,,,,,,,,PACKSIZE,,63595
SUNSHINE COUNSUMER LANKA LTD,WATAWALA CEYLON ,WATAWALA / 50 GM / PLPCH  / WATAWALA CEYLON  TEA ,50.0,GM,50 GM,PLPCH ,1,,,,,,,,,BRAND,,48509
UNILEVER SRI LANKA LTD,VASELINE ,VASELINE  / 100 ML / PLBOT / HEALTHY BRIGHT IN 2 WEEKS SARUM  IN LOTION ,100.0,ML,100 ML,PLBOT ,2,,,,,,,,,ITEMDESC,Vaseline,
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/ 85 GM / PLPCH  / CAROL COOKIE'S ,85.0,GM,85 GM,PLPCH ,1,,,,,,,,,BRAND,,64092
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE  / 340 GM / PLPCH  / CAROL COOKIE'S,340.0,GM,340 GM,PLPCH ,1,,,,,,,,,BRAND,,56462
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE /400 GM / PLPCH  / FULL  CREAM MILK POWDER  /  (SAVE RS.50 /=)  ,400.0,GM,400 GM,PLPCH ,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO/ 200 / ML / RESTORING CARE BODY LOTION,200.0,ML,200 ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,63968
PURE HERBS INTERNATIONAL LTD,O'NELLE NATURALS,"O,NELLE NATURE'S/100 / ML / PLBOT  /SHEA BATTER AND BEE HONEY PERFUMS BODY  LOTION ",100.0,ML,100 ML,PLBOT ,2,,,,,,,,,ITEMDESC,Shea Batter and Bee Honey Perfums Body Lotion,
MACKSONS CARE ( PVT) LTD ,MACRON ,MACRON/ 200 / ML / PLBOT  / BODY LOTION  SEA WEED NORMAL SKIN ,200.0,ML,200 ML ,PLBOT ,1,,,,,,,,,MANUFACTURE,,
MACKS MARKETING PVT LTD,MACRON,MACRON /200/ML/PLBOT/ CONDITIONER KERATIN ,200.0,ML,200 ML ,PLBOT ,1,,,,,,,,,MANUFACTURE,,
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO / 200 / ML /PLBOT/ ALOE HYDRATION BODY LOTION,200.0,ML,200 ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,63967
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO  / 200 ML / PLBOT / EXTRA BRIGHT BODY LOTION ,200.0,ML,200 ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,64198
PRINT EXCEL PVT LTD,PROMATE,PROMATE/50/PGS/BOOK/NOTE BOOK A6,50.0,PGS,50 PGS,BOOK,1,,,,,,,,,PACKSIZE,,64203
RICHARD TRADING CO (PVT) LTD,RICHARD COLOURAY,RICHARD COLOURAY/80/PGS/BOOK/NOTE BOOK A7,80.0,PGS,80 PGS,BOOK,1,,,,,,,,,PACKSIZE,,64204
IMPORTED,COLORES ,COLORES / (IMPORTED) / NEW ELITE /12 COLOUR PACK /1 NO CDBOX,12.0,COLOUR,12 COLOUR ,CDBOX,1,,,,,,,,,BRAND,,63952
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 4,ENFAGROW A+4/400/G/TIN/PRO VANILLA NUTRITIONL SUPPLEMENT /300/- SAVE,400.0,GM,400G,TIN,2,,,,,,,,,ITEMDESC,ENFAGROW A+4/400/G/TIN/PRO VANILLA NUTRITIONL SUPPLEMENT,
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 3,ENFAGROW A+3/400/G/TIN/PRO VANILLA NUTRITIONL SUPPLEMENT /300/- SAVE,400.0,GM,400G,TIN,2,,,,,,,,,ITEMDESC,ENFAGROW A+ Nutrition Supplement Vanilla,
CIC HOLDINGS (PVT) LTD,ENSURE,ENSURE/400/G/TIN/GOLD ALMOND FLAVOUR,400.0,GM,400G,TIN,0,64190.0,CIC HOLDINGS (PVT) LTD,ENSURE,ENSURE (CIC) GOLD ALMOND FLAVOUR 400 GM TIN,400.0,GM,400.00 GM,TIN,,ENSURE  GOLD ALMOND FLAVOR,
SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,400.0,ML,400ML,TIN,1,,,,,,,,,BRAND,,64201
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,400.0,GM,400 GM ,PLPCH,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,Pelwatte Full Cream Milk Powder,
CEYLON BISCUITS LIMITED,MUNCHEE CAROLS,MUNCHEE/85/GM/CAROLS COOKIES NEW LOOK AND TASTE /PLPCH ,85.0,GM,85GM,PLPCH ,1,,,,,,,,,BRAND,,64092
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400/GM/FULL CREAM MILK POWDER/CDBOX ,400.0,GM,400GM,CDBOX ,1,,,,,,,,,MANUFACTURE,,52305
CEYLON BISCUITS LIMITED,MUNCHEE CAROLS,MUNCHEE/340/GM/CAROLS COOKIES NEW LOOK AND TASTE/PLPCH ,340.0,GM,340GM,PLPCH ,1,,,,,,,,,BRAND,,64092
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/125/GM/FULL CREAM MILK POWDER/PLPCH ,125.0,GM,125GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,58791
DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP OLIVE 65GM,65.0,GM,65GM,CDBOX,0,62852.0,DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP 65 GM CDBOX,65.0,GM,65.00 GM,CDBOX,,Calin Baby Soap,
NEW MALINDU PRODUCTS(PVT)LTD,NEW MALINDU,NEW MALINDU CHILLI FLAKES/100GM/PLPCH,100.0,GM,100GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75 GM/CDBOX/KOHOMBX AYURVEDA SOAP,75.0,GN,75 GN,CDBOX,1,,,,,,,,,PACKSIZE,,64208
